COMPANY,JOB TITLE,DESCRIPTION,LINK,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Raytheon Intelligence & Space,Summer Internship: Systems Engineering (Junior / Senior / Po...,"Looking for an innovative, creative, and highly motivated intern to develop computer models and simulations that effectively capture system and system of…",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=101a0451ae4413e5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"TuSimple, Inc.","Software Engineer, Onboard Infrastructure","(This role is located in sunny, San Diego, relocation assistance is provided!).",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=d95f78a164587991,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Collins Aerospace,Software Engineering Co-Op (Spring/Summer 2021),The assignment will require the verification of software requirements by creating and running functional tests in laboratory test facilities utilizing a…,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=357472924bba0a35,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Syncroness,Machine Learning Engineer,Syncroness provides inspired solutions to highly complex business and technical problems.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=2f3f116320f914ca,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Micron,Intern - Software Development Engineer,We are defining new device concepts that will shape the future of computing systems.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=74fd86b0c187b21d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sunikshainfotech,DevOps Engineer,"Deep knowledge of at least one of the following languages: Java, Ruby, GO, Python.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=50a24f124c76463f,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
L3Harris Technologies,"Software Engineer (Co-op- Greenville, TX)","Two-term Co-op (For example, Spring and Summer or Summer and Fall).",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=e8c20908adda5eb9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(Private),Embedded Software Engineer,"Embedded Drivers in lightweight RTOS environment for I2C, SPI, Display, UART, PWM controllers, Analog to Digital Converters, GPIO, CAN bus and other low-level…",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=4a8074887c282b58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOCKHEED MARTIN CORPORATION,Simulation Software Engineer,The selected candidate will be a technical staff member for laboratory software development within the LM Aero Labs and Technical Services (L&TS) Simulation…,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=656d8b07af20c0ef,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Michaels,Software Development Engineer 2,"Improve system quality by identifying issues, common patterns and developing standard operating procedures.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=128d33e42a473403,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zimperium,Devops Engineer,The position offers the opportunity to participate in both CI/CD and the CloudOps aspects of Devops.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=8fdb4473d4528a93,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Stryker,"Summer Internship 2021-Computer Science, Computer Engineerin...",Relationship-savvy people who intentionally make connections with both internal partners and external contacts.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=917449bbc42bd880,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOCKHEED MARTIN CORPORATION,Engineering and Technology Intern,Candidate will work on agile scrum teams for software development related to Digital Transformation.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=98b8a16502ebb572,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Federal Reserve Bank of Richmond,DevOps Specialist,Job Sensitivity Tier II - No Credit Check Mod.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=c27725798efcef15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Excelon Solutions,HADOOP Developer,Knowledge of Java application development.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=2cc18d618afa1214,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tasacom Technologies,Software QA Engineer,Logged defect in Microsoft TFS and HP quality center then assign the defect to respective developers.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=bf9428f250c549ee,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fults & Associates,Embedded C Developer,We need someone to develop and maintain applications and tools that test hardware.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=5cf0dd659a222523,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FedEx Services,Intern Information Technology - Dallas,This is a 10-week assignment for students pursuing a college degree.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=aaec3a3dbb6dcb67,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fujitsu,Software Development Intern,We are seeking an undergraduate student in Computer Science (or related engineering discipline) for an internship in our Software Development organization in…,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=6d72fd2b8a81dfef,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CoreAVI,Software Verification Engineer,We are seeking experienced Software Verification Engineers to help create and improve our safety critical embedded graphics and compute drivers.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=4c912d4375a9f7bf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fujitsu,Software Engineer I,"As a contributing member of the team, you will help design, implement, and enhance Fujitsu's next generation Flashwave fiber optical communications products.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=5f8b89d3eebedeb6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FDM Group,Junior Software Development Consultant - Metro DC,"FDM consultants are working on exciting advancements in technology, including robotics, automation and more.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=51&limit=50&vjk=c7560a6301133a7a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
